geo_id,nonfamily_households,family_households,median_year_structure_built,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,median_rent,percent_income_spent_on_rent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,married_households,occupied_housing_units,housing_units_renter_occupied,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,civilian_labor_force,employed_pop,unemployed_pop,not_in_labor_force,pop_16_over,pop_in_labor_force,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,bachelors_degree_2,bachelors_degree_or_higher_25_64,children,children_in_single_female_hh,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,female_female_households,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_including_ged,households_public_asst_or_food_stamps,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,male_male_households,management_business_sci_arts_employed,no_car,no_cars,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,one_car,two_cars,three_cars,pop_25_64,pop_determined_poverty_status,population_1_year_and_over,population_3_years_over,poverty,sales_office_employed,some_college_and_associates_degree,walked_to_work,worked_at_home,workers_16_and_over,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,pop_25_years_over,commute_35_44_mins,commute_60_more_mins,commute_less_10_mins,commuters_16_over,hispanic_any_race,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,pop_15_and_over,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced,do_date
13153,19169,38986,1992,971,3082,1650,643,1986,4023,2224,3323,1442,2378,155469,77540,77929,36.1,,,,,,,,,,58155,58965,33750,63959,5804,,,741,26.3,36433,0,26052,10219,8315,5930,1891,0,494,1904,135,135,13023,16416,14158,4734,10534,1076,1679850,2747,2340,1732,2720,3072,3635,2842,1606,5118,3580,5619,6388,6083,2685,3767,4221,898,95200,143900,213900,28960,58155,21722,45075,910,814,2626,4529,4156,289,460,5061,4007,2074,1362,4889,5840,5771,3799,971,1647,660,3331,5751,6054,5849,4195,7289,4358,6391,1512,1757,1313,1368,2197,1465,716,417,4667,4729,6506,2588,2748,455,423,2430,5585,5605,5482,5451,5254,5417,4221,2708,2777,1297,1671,3409,1812,1079,1615,91416,51094,640,5559,3647,1633,1437,2920,1665,14235,2786,77322,73425,3897,41293,121401,80108,,,2735,3501,,,5697,6073,19146,28276,38789,8461,,,,,,19775,4567,763,4447,4612,14395,3683,2114,7188,4009,11242,9607,8524,2272,569,0,3846,0.4476,12934,1694,28438,5795,9154,10480,7836,44440,9952,10478,2141,5019,2255,473,649,6064,4706,21307,149,24686,829,2368,5393,24686,8789,9346,17858,12746,17933,24644,9364,85656,152841,153580,150029,18069,17858,33019,,,,10735,19146,24682,6569,11013,15715,104015,,,,,,,,,,,,,,,,2018
18035,18998,26313,1965,1936,4128,1967,1106,649,1493,2220,824,1017,583,114772,55362,59410,35,,,,,,,,,993,45311,41662,23387,52731,7420,1177,438,611,35.9,29388,86,17769,7405,5219,3466,1415,338,0,2186,791,764,10749,10299,7135,1622,2985,2660,1050195,4444,2374,3405,3536,2600,3347,2249,1761,1974,3760,4201,6004,2042,1545,589,1480,750,62700,96000,147100,19433,45311,15923,37386,327,1866,2641,2292,2635,1259,1694,2631,1465,58,3172,3123,3774,2509,1921,2718,2349,2035,4167,3872,2732,2933,2257,3043,3170,3342,1389,1699,895,1657,2305,1433,862,1177,2903,3118,2242,1840,3623,1806,2237,3646,4038,2678,2933,2793,3061,3669,3728,840,2653,2046,958,3144,1787,1659,2008,101710,7989,110,1718,9580,716,604,2149,1211,10006,140,57484,54230,3254,38304,95928,57624,,,247,174,,,5801,6046,9434,13319,21430,3851,,,,,,17966,7294,784,6422,1801,15875,2279,687,7499,2822,2629,6879,3605,1988,960,110,2722,0.4486,8274,7297,22869,5871,5199,3594,4383,34645,16920,8146,1287,1706,1554,191,893,4238,2774,12643,0,18357,1105,3004,802,18357,2846,9038,11688,12301,15300,16620,7665,50830,107717,113846,110929,24394,11688,22038,,,,6391,9434,19218,5109,6394,10538,70761,,,,,,,,,,,,,,,,2018
45003,23753,44856,1986,1918,5857,869,394,1572,1433,1562,3477,618,615,169401,83093,86308,41.3,,,,,,,,,,68609,51932,29266,77687,9078,,,595,31.6,50294,97,28562,11489,6368,2928,3328,112,0,5121,669,628,10574,12982,10706,5381,10555,5870,1739610,4988,3847,3841,3893,2896,2892,3387,3682,3095,5509,7679,8474,4880,3351,3586,2609,825,84000,154000,230700,33180,68609,18315,52651,2311,1641,2498,1969,997,533,432,14655,3341,3456,2688,5742,5711,4655,3943,2902,1364,334,2470,5122,5279,5279,4131,4704,5262,5923,2385,3203,2288,2553,4199,2505,1468,1671,5036,3887,5546,2144,2063,622,1744,3299,5032,4678,4241,5973,5161,5691,7515,2181,3434,2361,3430,4741,3633,1667,2229,120302,43943,313,1527,5294,2218,2911,2578,998,17692,265,79337,75205,4132,57568,137170,79602,,,2396,2610,,,6925,8489,19993,22028,36664,11391,,,,,,21789,1648,559,7500,5503,16757,2738,436,10519,3663,3984,9262,8422,4601,1261,0,5362,0.461,11192,2780,39815,7944,6813,8231,8316,35822,7161,12432,1654,3443,1600,1096,1653,7773,4258,21477,0,25190,1951,4584,4200,25190,6552,10442,16377,16644,23767,23842,11054,85194,166508,168141,162584,24753,16377,34507,,,,8662,19993,32860,6341,8327,19504,117939,,,,,,,,,,,,,,,,2018
55131,17175,38313,1985,451,1157,1056,1058,1167,1294,1778,2243,1048,498,135693,67090,68603,43.3,125755,1803,1890,4370,379,4,1411,131323,,55488,73435,38547,57201,1713,,,745,25.3,43738,289,28875,9557,7994,4740,2903,351,0,1563,346,248,8462,8529,9516,5773,10615,4394,1584250,1441,1180,1291,1289,1679,3145,2265,3421,2372,3825,6321,7734,6898,4506,4909,3212,890,176900,241500,342900,32287,55488,11750,38477,4691,3525,3099,2369,1524,1490,1388,638,1701,1008,1582,3650,4391,3951,2715,1483,561,306,2404,3361,4265,4893,3756,4427,5430,5090,2289,2973,1293,2368,3126,1858,1652,848,3917,3704,4706,2721,1538,0,1206,2180,3346,3818,4278,3912,4418,5188,5377,1774,3311,1537,2273,3332,2550,1968,1549,127836,1803,379,1890,8745,3617,3411,1776,496,12092,74,74843,72577,2266,34461,109378,74917,,,,,,,9411,10101,20964,26691,29755,2953,,,,,,,,940,4309,4735,14463,5286,860,17279,3476,2168,7812,5365,2907,2977,112,4142,0.4033,11697,915,30741,2997,6196,6862,7472,30268,4277,5123,1989,4167,2714,162,1252,6785,3140,20209,0,26966,1022,1377,1938,26966,6598,13378,15982,9653,16226,24704,9039,71906,135033,,131300,4814,15982,27735,,,,10949,20964,27978,5947,8717,10839,96260,,,,,,,,,,,,,,,,2018
45041,16319,34199,1980,2864,4015,1183,528,1191,1287,1401,2662,1390,1014,138159,63556,74603,38.3,70974,57909,1678,3754,377,622,2749,134405,,50518,48790,27206,61109,10591,1450,992,585,28.4,32983,70,17414,9753,5270,3703,1404,163,0,4483,255,255,8402,14929,9087,3931,7103,3152,1292470,5471,2075,3050,3282,1525,2906,2737,2574,2156,4307,5775,5098,3839,2176,2046,1501,749,71500,141700,230700,22953,50518,17535,40328,383,1873,2119,3441,189,302,888,11437,1796,790,1936,4217,3937,5271,2760,1807,231,1012,2404,4186,3735,4333,3299,4089,4191,4001,1252,2944,1430,2577,2398,1906,782,794,4436,4062,5446,2567,2486,569,1141,2407,5291,4715,4822,4046,4695,4918,4929,2614,1948,1677,3071,3158,2154,2261,1190,71932,58588,726,1678,5663,1928,475,2183,836,8998,0,65018,61910,3108,44243,109261,65018,,,3037,2953,,,4823,4862,13685,18601,32696,11701,,,,,,,,673,5352,2787,17107,3358,493,7130,2570,2627,8523,5462,3628,2200,37,2412,0.5177,9630,2902,31816,7828,6439,8424,7544,34975,6960,13372,1361,2487,2042,635,2080,5317,2555,16477,0,20747,1486,4135,1100,20747,4328,9821,16617,10397,16521,19375,8075,70008,134691,,133197,23523,16617,24903,,,,9049,13685,26939,3293,6676,12561,93406,,,,,,,,,,,,,,,,2018
26111,11596,22495,1975,553,1443,587,660,858,1341,658,1997,804,170,83209,40637,42572,41.8,,,,,,,,,,34091,56091,34197,37115,3024,,,589,27.3,25020,203,13910,5742,4737,4046,610,30,51,1005,404,278,7641,6284,5333,1914,3000,1195,806795,2083,1538,1618,1633,2049,1922,1290,1475,1215,3275,3200,4389,2563,1725,1805,2311,700,92700,146200,218200,17682,34091,9071,25172,835,1177,596,1683,1313,1264,760,4315,876,520,1829,2503,2763,2232,1606,1141,390,375,1638,2588,2396,2488,2337,2641,3065,2872,1337,1567,1028,1106,1777,998,740,1049,2333,2073,3169,1550,948,150,419,1550,2659,2680,2173,2574,2502,3091,2591,1315,1954,1181,1739,1839,2026,836,1220,77869,1229,250,2101,4300,858,1535,1699,647,9410,0,39526,37354,2172,28026,67552,39526,,,,,,,5133,5642,10329,15008,18229,2786,,,,,,8182,2266,301,5071,2052,10259,1626,376,7265,1531,889,3736,2606,959,683,39,2350,0.4868,8371,1332,17351,4450,4128,4009,4308,19595,4292,3600,1371,1580,1872,137,1112,3370,2040,11482,67,15191,1001,2373,1828,15191,2434,4651,6596,8482,10802,13507,5059,42830,81952,82224,80212,10054,6596,18718,,,,7232,10329,16104,4199,4833,7287,58369,,,,,,,,,,,,,,,,2018
40125,7872,18842,1977,906,1716,338,616,622,667,1243,974,1092,293,72679,34613,38066,37.5,52406,2500,432,3781,8942,32,4538,68898,,26714,48776,23510,29998,3284,513,178,554,26.3,18247,8,9271,4907,2435,981,1359,95,0,2472,283,269,3984,4598,3326,1142,2332,2949,727100,2213,2012,1235,1296,1659,1516,1551,925,1353,2480,2854,3382,2211,716,786,525,741,76000,126400,195000,13379,26714,8467,22850,384,1025,383,889,212,210,420,3584,1039,1236,1285,2131,2372,2334,1534,1093,596,586,1187,2309,2048,2450,1878,2111,2112,1871,1303,1370,865,917,1563,761,448,774,2234,2138,2896,1514,1060,891,288,1382,2419,2401,2738,1874,2312,2550,2400,1179,1297,601,1248,1949,857,807,1031,54800,2597,9342,432,3595,1080,1497,1884,578,5524,15,31282,30003,1279,26195,57492,31297,,,,,146,205,3224,3606,6150,7570,17153,4519,,,,,,,,1226,2841,1927,6764,1199,337,3273,2042,2611,3309,1884,1852,738,77,2384,0.4424,4091,3039,16785,4572,3719,4130,4331,19224,4609,5273,704,1521,559,176,934,2972,1901,8767,0,9842,614,1647,656,9842,3558,5234,6644,4725,8198,10474,4011,36622,69751,,70203,12586,6644,16144,,,,4072,6150,13424,5131,3360,6941,48443,,,,,,,,,,,,,,,,2018
47009,13062,38384,1986,1220,2507,807,899,1729,1551,1487,2046,1067,566,131349,63586,67763,43.7,,,,,,,,,,51446,58809,29943,58673,7227,,,688,28.8,37567,465,20975,7899,5496,2931,2238,327,0,2403,1493,1105,7606,10930,8861,3550,9581,4855,1423610,2720,2460,2069,2197,1925,2617,2963,2700,2576,3862,6015,7342,4924,3010,2422,1644,816,131200,197200,290100,29101,51446,13879,42808,1322,226,2085,1881,829,563,456,8503,1914,2071,2464,3622,4568,3517,2831,1518,651,662,2224,3789,3357,3883,3436,4286,4293,4122,1913,2824,1597,2687,2938,2603,1556,709,3008,4113,2870,2595,1601,526,694,2976,3812,3557,4860,3179,4303,4684,5090,2234,2583,1782,2648,4333,2727,1777,1811,122926,3551,228,775,6094,1588,2242,1883,807,12854,58,64391,61767,2624,43813,108262,64449,,,,,,,8245,8461,14340,17084,27124,3678,,,,,,9523,858,576,7021,4040,16362,4270,785,7567,2096,1708,7071,5425,3802,1044,38,5808,0.4308,8537,1986,32709,4899,5609,5050,6702,26680,4467,9545,2072,2670,1588,505,1104,6924,2575,17438,0,20533,388,1909,1414,20533,5387,9061,14520,12266,12282,21209,10238,66205,129405,130851,128327,11564,14520,28242,,,,8100,14340,28176,6662,5166,13480,93373,,,,,,,,,,,,,,,,2018
19193,12802,26451,1956,486,2100,1242,1006,1092,2007,787,1541,2106,1069,102539,51134,51405,36.7,,,,,,,,,,39253,61516,29277,42434,3181,,,632,27.4,25817,0,15151,8588,4386,2967,1277,87,55,4202,1421,1421,10847,10012,8857,1880,2387,1361,884430,1768,1765,1087,2701,2436,2320,1407,1552,968,3058,3916,6328,3408,1888,3099,1552,801,90100,128100,203500,18449,39253,13436,30676,934,2161,1416,1220,1396,1901,1229,1501,673,635,4261,3853,3921,3848,2278,1772,1021,740,1201,3365,3567,2836,3789,2999,2783,3537,1275,1725,1208,1432,1530,867,969,618,3156,3634,4311,1650,1290,585,448,1781,3512,3062,4119,2616,2752,2765,2731,1592,2226,895,1799,2192,1291,1606,1392,89664,4374,2067,2906,8244,579,330,1147,706,5763,63,53353,50829,2524,24579,77995,53416,,,,,891,362,4471,5305,10704,11721,26651,8271,,,,,,4765,4700,906,4508,4363,11022,2325,480,8285,2142,1498,7901,3093,2856,1450,22,4139,0.4308,4647,2799,21654,6004,5387,6903,5480,26509,5029,7640,1150,1856,475,695,706,4600,2837,12319,81,15162,1413,3078,3293,15162,4724,10722,12743,7478,10867,14342,6827,51251,99863,101280,99212,14105,12743,22405,,,,7178,10704,18547,5536,3760,9691,67050,,,,,,,,,,,,,,,,2018
38015,15698,25038,1987,941,1348,1056,1238,303,1137,2108,1772,2493,131,95273,48205,47068,37.4,,,,,,,,,,40736,71172,37979,43159,2423,,,760,23.3,28209,7,17775,7674,5136,4166,809,161,0,2538,470,470,15692,12172,6107,1401,1592,1115,985020,1473,1734,981,1268,1471,2102,1672,1554,1263,2996,4744,5409,5957,2533,3120,2459,839,195300,272400,362200,19512,40736,12527,24742,3356,969,1743,1228,2679,3042,2175,3225,4487,3452,987,3506,3290,3049,1583,1309,961,1268,1493,3902,3821,2882,3248,2538,2603,3430,1364,1197,1512,1008,1548,772,993,928,2872,2512,3281,1591,1420,638,292,2116,3003,2992,3207,2850,3073,2563,3450,1043,1769,1361,1865,1146,1292,999,1733,86062,2208,4210,572,6986,61,339,2669,976,6627,38,53767,52813,954,22060,75865,53805,,,,,,,5053,5636,16273,17443,21684,5134,,,,,,8146,5795,1695,5435,3949,12734,3803,649,2874,1779,4460,6492,3501,4207,1235,102,5007,0.411,5563,3249,14634,2888,4753,4994,3841,22232,4867,2821,2192,2721,660,27,176,2834,2522,11132,0,20696,339,2062,637,20696,4895,5965,11962,9295,12623,14388,6656,48935,92425,93758,91497,6526,11962,24801,,,,11625,16273,12296,4086,3478,9090,64092,,,,,,,,,,,,,,,,2018
