ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-2898611,2,2019-02-11 14:55:30,2019-02-11 15:25:23,34.043541,-118.443851,34.038988,-118.439949,0.386,At Olympic Blvd/Pico Blvd/Exit 54 - Accident.,nan,San Diego Fwy S,R,Los Angeles,Los Angeles,CA,90025,US,US/Pacific,KSMO,2019-02-11 14:51:00,55.9,nan,49.0,30.15,10.0,WSW,9.2,nan,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898612,2,2020-09-24 04:33:13,2020-09-24 12:33:13,45.811561,-123.771983,45.797221,-123.811503,2.146,Hazardous tree or vegetation is causing no to minimum delays. Use caution.,nan,Highway 53,R,Nehalem,Clatsop,OR,97131,US,US/Pacific,KS47,2020-09-24 04:35:00,59.0,59.0,88.0,29.94,7.0,SSW,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2898613,2,2020-05-05 13:46:54,2020-05-05 16:31:22,27.937731,-82.288483,27.937731,-82.288483,0.0,Lane blocked due to accident on FL-60 Brandon Blvd at Moon Ave.,100.0,N Moon Ave,L,Brandon,Hillsborough,FL,33510,US,US/Eastern,KVDF,2020-05-05 13:55:00,82.0,82.0,62.0,29.96,10.0,W,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
A-2898614,2,2020-12-07 03:15:00,2020-12-07 04:50:04,27.937828000000003,-82.303911,27.937828999999997,-82.304152,0.015,Incident on W BRANDON BLVD near LIMONA RD Drive with caution.,1394.0, W Brandon Blvd,R,Brandon,Hillsborough,FL,33511-4132,US,US/Eastern,KVDF,2020-12-07 03:15:00,57.0,57.0,94.0,29.79,10.0,CALM,0.0,0.0,Mostly Cloudy,True,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Night,Night
A-2898615,2,2020-09-16 18:51:00,2020-09-16 21:54:42,37.396377,-79.900604,37.389562,-79.904455,0.516,Incident on I-81 SB near MM 151 Right lane blocked. Expect delays.,nan,I-81 S,R,Daleville,Botetourt,VA,24083,US,US/Eastern,KROA,2020-09-16 18:54:00,66.0,66.0,70.0,28.91,10.0,SE,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898616,2,2020-11-03 00:02:00,2020-11-03 01:39:43,42.39198,-83.003865,42.39072,-83.008935,0.273,Incident on I-94 WB near GRATIOT/MI-3 Drive with caution.,nan,Edsel Ford Fwy W,R,Detroit,Wayne,MI,48213,US,US/Eastern,KDET,2020-11-03 00:53:00,43.0,39.0,43.0,29.34,10.0,W,7.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2898617,3,2020-01-19 16:33:11,2020-01-19 17:01:05,44.949059000000005,-93.10221899999999,44.949059000000005,-93.10221899999999,0.0,Accident on I-35E Northbound at I-35E Exits 107A 107B 107C.,nan,I-35E N,R,Saint Paul,Ramsey,MN,55102,US,US/Central,KSTP,2020-01-19 16:53:00,12.0,2.0,70.0,29.78,8.0,NW,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898618,3,2019-02-01 09:19:05,2019-02-01 09:48:25,33.3019,-111.87636,33.298307,-111.87636,0.248,At Dobson Rd - Accident. Two lanes blocked.,98.0, S Dobson Rd,R,Chandler,Maricopa,AZ,85224,US,US/Mountain,KCHD,2019-02-01 09:47:00,62.6,nan,45.0,30.03,10.0,Variable,5.8,nan,Scattered Clouds,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-2898619,2,2017-08-02 08:34:02,2017-08-02 09:19:00,40.272739,-75.257935,40.272739,-75.257935,0.0,Slow traffic due to accident on PA-309 Bethlehem Pike Southbound at Lenhart Rd.,2798.0,Lenhart Rd,R,Colmar,Montgomery,PA,18915-9716,US,US/Eastern,KDYL,2017-08-02 08:54:00,77.0,nan,76.0,30.06,10.0,Calm,nan,nan,Clear,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-2898620,2,2017-12-28 07:28:56,2017-12-28 07:57:49,43.077332,-77.546585,43.077332,-77.546585,0.0,Accident on NY-65 Clover St at County Hwy-37 Stone Rd.,3001.0,Clover St,R,Pittsford,Monroe,NY,14534-2815,US,US/Eastern,KROC,2017-12-28 07:35:00,1.0,-10.3,87.0,30.63,4.0,West,5.8,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
